Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,1973,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,1.6,
SURVEY,1981,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,10.7,
SURVEY,2002,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,12.14,
SURVEY,1974,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.39,
SURVEY,1975,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,13.41,
SURVEY,1979,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14,
SURVEY,1974,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.06,
SURVEY,1977,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.7,
SURVEY,1980,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,14.82,
SURVEY,1994,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,15.71,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,HANCOCK,63,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.21,
SURVEY,1980,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.21,
SURVEY,1975,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.83,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,16.89,
SURVEY,1981,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17,
SURVEY,1982,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17.06,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17.57,
SURVEY,1995,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,MIAMI,109,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,17.89,
SURVEY,1996,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,MIAMI,109,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.03,
SURVEY,2006,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,SANDUSKY,143,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.06,
SURVEY,1978,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.1,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,MERCER,107,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.27,
SURVEY,1976,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.33,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,WILLIAMS,171,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.49,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.5,
SURVEY,1979,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.6,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAYETTE,47,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.63,
SURVEY,2004,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,18.83,
SURVEY,1996,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19,
SURVEY,1982,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.03,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,DARKE,37,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.07,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,LUCAS,95,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.08,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,DARKE,37,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.4,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,DEFIANCE,39,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.5,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,WOOD,173,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.61,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,WOOD,173,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.63,
SURVEY,1978,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,19.7,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,WYANDOT,175,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.1,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAYETTE,47,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.26,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,PUTNAM,137,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.29,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,HANCOCK,63,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.3,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,LUCAS,95,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.33,
SURVEY,1988,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.43,
SURVEY,1995,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.52,
SURVEY,2005,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,SANDUSKY,143,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.54,
SURVEY,2006,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.57,
SURVEY,1977,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.6,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,MIAMI,109,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.65,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTTAWA,123,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.68,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,PUTNAM,137,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.8,
SURVEY,1988,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,20.84,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,HANCOCK,63,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.01,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,WILLIAMS,171,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.13,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,MIAMI,109,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.21,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,DARKE,37,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.43,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,HENRY,69,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.52,
SURVEY,1983,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.56,
SURVEY,2006,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,WOOD,173,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.59,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,HENRY,69,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.81,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,FULTON,51,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.81,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,ALLEN,3,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,21.93,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,SOUTHWEST,70,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22,
SURVEY,2005,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.19,
SURVEY,2003,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,DARKE,37,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.22,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,ALLEN,3,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.3,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,SOUTHWEST,70,CLINTON,27,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.3,
SURVEY,1998,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.4,
SURVEY,1989,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.4,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,CENTRAL,50,FAYETTE,47,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.48,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,DEFIANCE,39,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.69,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTTAWA,123,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.72,
SURVEY,1989,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.83,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,FULTON,51,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,22.88,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,SOUTHWEST,70,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23,
SURVEY,1992,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,LUCAS,95,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.03,
SURVEY,1994,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.19,
SURVEY,1976,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.23,
SURVEY,1993,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,SANDUSKY,143,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.27,
SURVEY,1999,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.28,
SURVEY,1995,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.33,
SURVEY,2000,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.41,
SURVEY,1997,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.42,
SURVEY,2004,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,WOOD,173,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.45,
SURVEY,1998,YEAR,,COUNTY,OHIO,39,WEST CENTRAL,40,DARKE,37,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.61,
SURVEY,1991,YEAR,,COUNTY,OHIO,39,NORTHWEST,10,DEFIANCE,39,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.75,
SURVEY,1983,YEAR,,COUNTY,OHIO,39,NORTH CENTRAL,20,OTHER (COMBINED) COUNTIES,,,,0,,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.77,
